LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,ParameterList
1,20/02/28,22:47:30,INFO,StaticConf$,DB_HOME: /databricks,18bf7240,DB_HOME: /databricks,[]
2,20/02/28,22:47:30,INFO,DriverDaemon$,========== driver starting up ==========,1c257a9c,========== driver starting up ==========,[]
3,20/02/28,22:47:30,INFO,DriverDaemon$,Java: Private Build 1.8.0_232,4655b4ae,Java: Private Build 1.8.0_232,[]
4,20/02/28,22:47:30,INFO,DriverDaemon$,OS: Linux/amd64 4.4.0-1102-aws,028867b6,OS: Linux/amd64 4.4.0-1102-aws,[]
5,20/02/28,22:47:30,INFO,DriverDaemon$,CWD: /databricks/driver,d74d6910,CWD: /databricks/driver,[]
6,20/02/28,22:47:30,INFO,DriverDaemon$,"Mem: Max: 4.8G loaded GCs: PS Scavenge, PS MarkSweep",ecab9817,"Mem: Max: 4.8G loaded GCs: PS Scavenge, PS MarkSweep",[]
7,20/02/28,22:47:30,INFO,DriverDaemon$,Logging multibyte characters: âœ“,ad84d2dd,Logging multibyte characters: âœ“,[]
8,20/02/28,22:47:30,INFO,DriverDaemon$,'publicFile' appender in root logger: class com.databricks.logging.RedactionRollingFileAppender,4690b9f6,'publicFile' appender in root logger: class com.databricks.logging.RedactionRollingFileAppender,[]
9,20/02/28,22:47:30,INFO,DriverDaemon$,'org.apache.log4j.Appender' appender in root logger: class com.codahale.metrics.log4j.InstrumentedAppender,38f76352,<*> appender in root logger: class <*>,[]
10,20/02/28,22:47:30,INFO,DriverDaemon$,'null' appender in root logger: class com.databricks.logging.RequestTracker,38f76352,<*> appender in root logger: class <*>,[]
11,20/02/28,22:47:30,INFO,DriverDaemon$,== Modules:,4fce4bb4,== Modules:,[]
12,20/02/28,22:47:31,INFO,DriverDaemon$,Starting prometheus metrics log export timer,e662b3c6,Starting prometheus metrics log export timer,[]
13,20/02/28,22:47:31,INFO,DriverDaemon$,Universe Git Hash: 687e04cafbfe88e512c6aea9e4f53a2c4e1d5689,8cd83268,Universe Git Hash: 687e04cafbfe88e512c6aea9e4f53a2c4e1d5689,[]
14,20/02/28,22:47:31,INFO,DriverDaemon$,Spark Git Hash: 428199fa1bdaea59715ade6e7d4d6bb5a11c388d,20b49405,Spark Git Hash: 428199fa1bdaea59715ade6e7d4d6bb5a11c388d,[]
15,20/02/28,22:47:31,WARN,RunHelpers$,"Missing tag isolation client: java.util.NoSuchElementException: key not found: TagDefinition(clientType,The client type for a request, used for isolating resources for the request.)",712bd1a0,"Missing tag isolation client: java.util.NoSuchElementException: key not found: TagDefinition(clientType,The client type for a request, used for isolating resources for the request.)",[]
16,20/02/28,22:47:31,INFO,DatabricksILoop$,Creating throwaway interpreter,b14b4ca1,Creating throwaway interpreter,[]
17,20/02/28,22:47:31,INFO,SparkConfUtils$,Customize spark config according to file /tmp/custom-spark.conf,e28cf8b0,Customize spark config according to file /tmp/custom-spark.conf,[]
18,20/02/28,22:47:31,INFO,MetastoreMonitor$,"Internal internal metastore configured (config=DbMetastoreConfig{host=devtierprod1-db.caj77bnxuhme.us-west-2.rds.amazonaws.com, port=3306, dbName=organization823618267676840, user=YbAhhCtN6Tgu0BzS})",365b761d,"Internal internal metastore configured (config=DbMetastoreConfig{host=devtierprod1-db.caj77bnxuhme.us-west-2.rds.amazonaws.com, port=3306, dbName=organization823618267676840, user=YbAhhCtN6Tgu0BzS})",[]
19,20/02/28,22:47:32,INFO,HikariDataSource,metastore-monitor - Starting...,927bc97a,metastore-monitor - Starting...,[]
20,20/02/28,22:47:32,INFO,HikariDataSource,metastore-monitor - Start completed.,5b7e5d94,metastore-monitor - <*> completed.,[]
21,20/02/28,22:47:32,INFO,DriverCorral,Creating the driver context,d3a0de76,Creating the driver context,[]
22,20/02/28,22:47:32,INFO,DatabricksILoop$,Class Server Dir: /local_disk0/tmp/repl/spark-3281211262966016233-8fe57c53-b822-4434-871c-c263ce4408f3,1a09080b,Class Server Dir: /local_disk0/tmp/repl/spark-3281211262966016233-8fe57c53-b822-4434-871c-c263ce4408f3,[]
23,20/02/28,22:47:32,INFO,SparkConfUtils$,Customize spark config according to file /tmp/custom-spark.conf,e28cf8b0,Customize spark config according to file /tmp/custom-spark.conf,[]
24,20/02/28,22:47:32,WARN,SparkConf,The configuration key 'spark.akka.frameSize' has been deprecated as of Spark 1.6 and may be removed in the future. Please use the new key 'spark.rpc.message.maxSize' instead.,d62e22a5,The configuration key 'spark.akka.frameSize' has been deprecated as of Spark 1.6 and may be removed in the future. Please use the new key 'spark.rpc.message.maxSize' instead.,[]
25,20/02/28,22:47:32,INFO,HikariDataSource,metastore-monitor - Shutdown initiated...,79466fcb,metastore-monitor - Shutdown initiated...,[]
26,20/02/28,22:47:32,INFO,HikariDataSource,metastore-monitor - Shutdown completed.,5b7e5d94,metastore-monitor - <*> completed.,[]
27,20/02/28,22:47:32,INFO,MetastoreMonitor,Metastore healthcheck successful (connection duration = 941 milliseconds),a68c364d,Metastore healthcheck successful (connection duration = <*> milliseconds),[]
28,20/02/28,22:47:32,INFO,SparkContext,Running Spark version 2.4.4,fc4b7056,Running Spark version 2.4.4,[]
29,20/02/28,22:47:33,WARN,SparkConf,"Detected deprecated memory fraction settings: [spark.storage.memoryFraction, spark.shuffle.memoryFraction]. As of Spark 1.6, execution and storage memory management are unified. All memory fractions used in the old model are now deprecated and no longer read. If you wish to use the old memory management, you may explicitly enable `spark.memory.useLegacyMode` (not recommended).",d123ccb4,"Detected deprecated memory fraction settings: [spark.storage.memoryFraction, spark.shuffle.memoryFraction]. As of Spark 1.6, execution and storage memory management are unified. All memory fractions used in the old model are now deprecated and no longer read. If you wish to use the old memory management, you may explicitly enable `spark.memory.useLegacyMode` (not recommended).",[]
30,20/02/28,22:47:33,INFO,SparkContext,Submitted application: Databricks Shell,a7c31293,Submitted application: Databricks Shell,[]
31,20/02/28,22:47:33,INFO,SecurityManager,Changing view acls to: root,b810e215,Changing <*> acls to: root,[]
32,20/02/28,22:47:33,INFO,SecurityManager,Changing modify acls to: root,b810e215,Changing <*> acls to: root,[]
33,20/02/28,22:47:33,INFO,SecurityManager,Changing view acls groups to:,66c1cc9e,Changing <*> acls groups to:,[]
34,20/02/28,22:47:33,INFO,SecurityManager,Changing modify acls groups to:,66c1cc9e,Changing <*> acls groups to:,[]
35,20/02/28,22:47:33,INFO,SecurityManager,SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(root); groups with view permissions: Set(); users  with modify permissions: Set(root); groups with modify permissions: Set(),f37a5454,SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(root); groups with view permissions: Set(); users with modify permissions: Set(root); groups with modify permissions: Set(),[]
36,20/02/28,22:47:34,INFO,Utils,Successfully started service 'sparkDriver' on port 34230.,f5a68e94,Successfully started service <*> on port <*>,[]
37,20/02/28,22:47:34,INFO,SparkEnv,Registering MapOutputTracker,657cfe01,Registering MapOutputTracker,[]
38,20/02/28,22:47:34,INFO,SparkEnv,Registering BlockManagerMaster,d353d6f7,Registering BlockManagerMaster,[]
39,20/02/28,22:47:34,INFO,BlockManagerMasterEndpoint,Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information,add369a7,Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information,[]
40,20/02/28,22:47:34,INFO,BlockManagerMasterEndpoint,BlockManagerMasterEndpoint up,f8f0a311,BlockManagerMasterEndpoint up,[]
41,20/02/28,22:47:34,INFO,DiskBlockManager,Created local directory at /local_disk0/blockmgr-8d21e9b3-3221-4782-821f-fca3197f1480,2e39369f,Created local directory at /local_disk0/blockmgr-8d21e9b3-3221-4782-821f-fca3197f1480,[]
42,20/02/28,22:47:34,INFO,MemoryStore,MemoryStore started with capacity 2.5 GB,fafeec11,MemoryStore started with capacity 2.5 GB,[]
43,20/02/28,22:47:34,INFO,SparkEnv,Registering OutputCommitCoordinator,dc5b83ae,Registering OutputCommitCoordinator,[]
44,20/02/28,22:47:34,INFO,SparkContext,Spark configuration:,6d9d4370,Spark configuration:,[]
45,20/02/28,22:47:34,WARN,MetricsSystem,Using default name SparkStatusTracker for source because neither spark.metrics.namespace nor spark.app.id is set.,1d120ff3,Using default name SparkStatusTracker for source because neither spark.metrics.namespace nor spark.app.id is set.,[]
46,20/02/28,22:47:34,INFO,log,Logging initialized @7531ms,1424647a,Logging initialized @7531ms,[]
47,20/02/28,22:47:34,INFO,Server,"jetty-9.3.27.v20190418, build timestamp: 2019-04-18T18:11:38Z, git hash: d3e249f86955d04bc646bb620905b7c1bc596a8d",3a1b91d0,"jetty-9.3.27.v20190418, build timestamp: 2019-04-18T18:11:38Z, git hash: d3e249f86955d04bc646bb620905b7c1bc596a8d",[]
48,20/02/28,22:47:34,INFO,Server,Started @7697ms,c66d4456,Started @7697ms,[]
