EventId,EventTemplate,Occurrences
18bf7240,DB_HOME: /databricks,1
1c257a9c,========== driver starting up ==========,1
4655b4ae,Java: Private Build 1.8.0_232,1
028867b6,OS: Linux/amd64 4.4.0-1102-aws,1
d74d6910,CWD: /databricks/driver,1
ecab9817,"Mem: Max: 4.8G loaded GCs: PS Scavenge, PS MarkSweep",1
ad84d2dd,Logging multibyte characters: âœ“,1
4690b9f6,'publicFile' appender in root logger: class com.databricks.logging.RedactionRollingFileAppender,1
38f76352,<*> appender in root logger: class <*>,2
4fce4bb4,== Modules:,1
e662b3c6,Starting prometheus metrics log export timer,1
8cd83268,Universe Git Hash: 687e04cafbfe88e512c6aea9e4f53a2c4e1d5689,1
20b49405,Spark Git Hash: 428199fa1bdaea59715ade6e7d4d6bb5a11c388d,1
712bd1a0,"Missing tag isolation client: java.util.NoSuchElementException: key not found: TagDefinition(clientType,The client type for a request, used for isolating resources for the request.)",1
b14b4ca1,Creating throwaway interpreter,1
e28cf8b0,Customize spark config according to file /tmp/custom-spark.conf,3
365b761d,"Internal internal metastore configured (config=DbMetastoreConfig{host=devtierprod1-db.caj77bnxuhme.us-west-2.rds.amazonaws.com, port=3306, dbName=organization823618267676840, user=YbAhhCtN6Tgu0BzS})",1
927bc97a,metastore-monitor - Starting...,3
5b7e5d94,metastore-monitor - <*> completed.,6
d3a0de76,Creating the driver context,1
1a09080b,Class Server Dir: /local_disk0/tmp/repl/spark-3281211262966016233-8fe57c53-b822-4434-871c-c263ce4408f3,1
d62e22a5,The configuration key 'spark.akka.frameSize' has been deprecated as of Spark 1.6 and may be removed in the future. Please use the new key 'spark.rpc.message.maxSize' instead.,2
79466fcb,metastore-monitor - Shutdown initiated...,3
a68c364d,Metastore healthcheck successful (connection duration = <*> milliseconds),3
fc4b7056,Running Spark version 2.4.4,1
d123ccb4,"Detected deprecated memory fraction settings: [spark.storage.memoryFraction, spark.shuffle.memoryFraction]. As of Spark 1.6, execution and storage memory management are unified. All memory fractions used in the old model are now deprecated and no longer read. If you wish to use the old memory management, you may explicitly enable `spark.memory.useLegacyMode` (not recommended).",1
a7c31293,Submitted application: Databricks Shell,1
b810e215,Changing <*> acls to: root,2
66c1cc9e,Changing <*> acls groups to:,2
f37a5454,SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(root); groups with view permissions: Set(); users with modify permissions: Set(root); groups with modify permissions: Set(),1
f5a68e94,Successfully started service <*> on port <*>,3
657cfe01,Registering MapOutputTracker,1
d353d6f7,Registering BlockManagerMaster,1
add369a7,Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information,1
f8f0a311,BlockManagerMasterEndpoint up,1
2e39369f,Created local directory at /local_disk0/blockmgr-8d21e9b3-3221-4782-821f-fca3197f1480,1
fafeec11,MemoryStore started with capacity 2.5 GB,1
dc5b83ae,Registering OutputCommitCoordinator,1
6d9d4370,Spark configuration:,1
1d120ff3,Using default name SparkStatusTracker for source because neither spark.metrics.namespace nor spark.app.id is set.,1
1424647a,Logging initialized @7531ms,1
3a1b91d0,"jetty-9.3.27.v20190418, build timestamp: 2019-04-18T18:11:38Z, git hash: d3e249f86955d04bc646bb620905b7c1bc596a8d",4
c66d4456,Started @7697ms,1
4df8c34f,"Started ServerConnector@67e25252{HTTP/1.1,[http/1.1]}{10.172.228.50:42605}",1
00329def,"Started o.e.j.s.ServletContextHandler@55fee662{/jobs,null,AVAILABLE,@Spark}",1
479d08b6,"Started o.e.j.s.ServletContextHandler@309cedb6{/jobs/json,null,AVAILABLE,@Spark}",1
